ObjectID,GlobalId,Name,Description,ObjectType,Material,Volume (m³),Surface Area (m²),Top Elevation (m),Bottom Elevation (m)
1082543,3S8czlhsn51O_Ow4DvpWjP,Basic Wall:_WC_L2 - PVC Toilet:4943421,N/A,Opening,No material assigned,5.72,22.26,28.67,26.50
1082702,16CVzJEi92l9DDrKyE$njm,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943422,N/A,Opening,No material assigned,6.22,23.04,28.67,26.50
1082948,3rgS0CEpPCOQpNB_Y$h$Cp,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943424,N/A,Opening,No material assigned,6.38,23.30,28.67,26.50
1083199,3rgS0CEpPCOQpNB_Y$h$CS,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943426,N/A,Opening,No material assigned,6.38,23.30,28.67,26.50
1083450,1yIMWSefT2auC8OOE9cK3Z,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943428,N/A,Opening,No material assigned,6.22,23.04,28.67,26.50
1083880,0RynMrYRT2VQP9iOf_7oAH,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943432,N/A,Opening,No material assigned,6.22,23.04,28.67,26.50
1084310,1SSrByO6P9kxG$6djjTEX4,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943436,N/A,Opening,No material assigned,6.22,23.04,28.67,26.50
2358737,0OzHFQzDv5YhOCNMwxs91C,Basic Wall:_H-DW-1_12 cm:11091041,N/A,Opening,No material assigned,7.04,24.34,15.17,13.00
1084924,1WEItzr$f3QPSKiLFR9GCU,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943443,N/A,Opening,No material assigned,6.22,23.04,28.67,26.50
1085722,1PSasBK116B80jji$5kytq,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943453,N/A,Opening,No material assigned,6.22,23.04,28.67,26.50
1085968,3AyGP$b6L5KwpzhsoN_BTy,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943455,N/A,Opening,No material assigned,22.14,149.67,28.68,27.56
1086134,3QkGQks5j0qxirmcB3aEkt,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943456,N/A,Opening,No material assigned,31.17,210.34,28.68,27.55
1086576,1k9$b5JAzDOvKgFtSj_0lM,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943460,N/A,Opening,No material assigned,6.38,23.30,28.67,26.50
1086735,0GoiNIY1P1uP9xzJgxSBP_,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943461,N/A,Opening,No material assigned,22.14,149.67,28.68,27.56
1087177,0ZrFcAuTv7wBg6przVydR2,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943465,N/A,Opening,No material assigned,22.14,149.67,28.68,27.56
1087343,0NcTQDzIP0Ega9AEEehes$,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943466,N/A,Opening,No material assigned,6.38,23.30,28.67,26.50
1087502,1BeRcPGujDQAP4gCgU0RgK,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943467,N/A,Opening,No material assigned,6.38,23.30,28.67,26.50
1087527,2ZHSa7tvbBywuNqIa7W9LU,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943467,N/A,Opening,No material assigned,11.84,31.91,28.67,26.50
1087551,1Jisg0B4zDp8etuojmQrF1,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943467,N/A,Opening,No material assigned,0.69,6.85,28.00,27.25
1087775,2tlNRKez1F0x7M3Bg3fAzS,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943468,N/A,Opening,No material assigned,6.38,23.30,28.67,26.50
1087800,0cWUeh4ZLEVgqnSllCHi3i,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943468,N/A,Opening,No material assigned,6.38,23.30,28.67,26.50
1087994,1_NqsLJGv0z9mYT5WFkH1s,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943469,N/A,Opening,No material assigned,6.38,23.30,28.67,26.50
1088019,1N6qNd21nD2xQerEPBH4F0,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943469,N/A,Opening,No material assigned,6.38,23.30,28.67,26.50
1088043,3tKBnX4pfDxQZje3v3U_Ug,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943469,N/A,Opening,No material assigned,0.69,6.85,28.00,27.25
1088266,0RxbdRg1bBtgk0i0p2jD1G,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943470,N/A,Opening,No material assigned,6.38,23.30,28.67,26.50
2358711,0OzHFQzDv5YhOCNMwxs913,Basic Wall:_H-DW-1_12 cm:11091041,N/A,Opening,No material assigned,7.04,24.34,15.17,13.00
1088291,1hI$zO3wfA$8cGkZ_FasRm,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943470,N/A,Opening,No material assigned,6.38,23.30,28.67,26.50
1090049,3K3LYvzFHCPOw7xLdGd_ut,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943488,N/A,Opening,No material assigned,22.14,149.67,28.68,27.56
1090215,02tidWCXvEqeKWVqFg6IE5,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943489,N/A,Opening,No material assigned,25.33,171.10,28.68,27.56
